,timestamp,open,high,low,close,volume
2924,2012-02-27,196.78,198.71,196.1,197.53,3758400
2925,2012-02-24,198.38,198.56,196.61,197.76,3353200
2926,2012-02-23,193.87,199.23,193.28,197.61,8032700
2927,2012-02-22,193.03,194.74,192.75,193.87,3275800
2928,2012-02-21,193.73,194.24,192.46,193.39,3293600
2929,2012-02-17,193.71,193.86,192.3,193.42,3746500
2930,2012-02-16,192.61,193.25,192.0,193.02,3525500
2931,2012-02-15,192.31,193.44,191.26,192.25,4020900
2932,2012-02-14,191.76,192.6,190.831,192.22,3398100
2933,2012-02-13,193.31,193.69,191.74,192.62,2458800
2934,2012-02-10,191.76,192.43,191.28,192.42,3391100
2935,2012-02-09,193.03,194.46,192.55,193.13,3876400
2936,2012-02-08,192.78,193.58,191.73,192.95,3803800
2937,2012-02-07,192.45,194.14,191.97,193.35,3433000
2938,2012-02-06,192.48,193.76,192.0,192.82,3639800
2939,2012-02-03,192.93,194.13,192.54,193.64,4521700
2940,2012-02-02,192.72,193.33,191.33,191.53,3907300
2941,2012-02-01,193.21,194.81,192.41,192.62,5088800
2942,2012-01-31,193.09,193.1,191.0,192.6,4826800
2943,2012-01-30,189.39,192.73,188.22,192.5,4359000
2944,2012-01-27,190.01,191.77,189.81,190.46,3360400
2945,2012-01-26,191.79,192.79,190.47,190.98,4004700
2946,2012-01-25,191.33,192.2399,189.61,191.73,4359700
2947,2012-01-24,188.63,192.305,188.5241,191.93,5345700
2948,2012-01-23,187.91,190.52,187.67,189.98,5751700
2949,2012-01-20,185.77,188.97,184.75,188.52,12849700
2950,2012-01-19,181.79,182.3599,180.35,180.52,8567200
2951,2012-01-18,179.83,181.6,179.5,181.07,4600600
2952,2012-01-17,180.36,182.0,179.32,180.0,6003400
2953,2012-01-13,179.48,179.61,177.3472,179.16,5279200
2954,2012-01-12,181.86,181.91,178.38,180.55,6881000
2955,2012-01-11,180.73,182.81,180.5,182.32,4110800
2956,2012-01-10,183.23,183.72,181.2,181.31,5161000
2957,2012-01-09,182.2,182.27,180.27,181.59,5201200
2958,2012-01-06,184.39,184.48,182.31,182.54,4897100
2959,2012-01-05,184.81,185.03,183.1,184.66,4463100
2960,2012-01-04,185.57,186.33,184.94,185.54,4346700
2961,2012-01-03,186.73,188.71,186.0,186.3,5646000
2962,2011-12-30,186.33,186.48,183.85,183.88,3530900
2963,2011-12-29,184.07,186.23,184.01,186.18,2941600
2964,2011-12-28,185.19,185.4,183.34,183.99,2872000
2965,2011-12-27,184.97,185.85,184.39,184.95,2775200
2966,2011-12-23,183.11,184.85,181.89,184.75,3052300
2967,2011-12-22,182.71,182.8,181.0,182.04,5052000
2968,2011-12-21,183.22,183.5,179.04,181.47,9282500
2969,2011-12-20,185.5,187.33,184.755,187.24,4740100
2970,2011-12-19,184.51,184.69,182.25,182.89,5039900
2971,2011-12-16,188.01,188.01,181.91,183.57,11849400
2972,2011-12-15,190.48,191.2,186.89,187.48,4474500
2973,2011-12-14,189.84,190.28,188.0,188.72,5057700
2974,2011-12-13,193.46,194.3,190.64,191.15,5008400
